commentary,Player,Team
"Match ends, Arsenal 4, Leicester City 3.",,"Arsenal,Leicester City"
"Second Half ends, Arsenal 4, Leicester City 3.",,"Arsenal,Leicester City"
Attempt missed. Aaron Ramsey (Arsenal) right footed shot from outside the box is high and wide to the right. Assisted by Granit Xhaka with a headed pass.,"Aaron Ramsey,Granit Xhaka",Arsenal
Wes Morgan (Leicester City) is shown the yellow card for a bad foul.,Wes Morgan,Leicester City
Olivier Giroud (Arsenal) wins a free kick on the left wing.,Olivier Giroud,Arsenal
Foul by Wes Morgan (Leicester City).,Wes Morgan,Leicester City
"Offside, Arsenal. Sead Kolasinac tries a through ball, but Mesut Özil is caught offside.","Sead Kolasinac,Mesut  Özil",Arsenal
"Offside, Arsenal. Alexandre Lacazette tries a through ball, but Theo Walcott is caught offside.","Alexandre Lacazette,Theo Walcott",Arsenal
Foul by Alexandre Lacazette (Arsenal).,Alexandre Lacazette,Arsenal
Danny Simpson (Leicester City) wins a free kick in the defensive half.,Danny Simpson,Leicester City
Riyad Mahrez (Leicester City) wins a free kick on the right wing.,,
Foul by Granit Xhaka (Arsenal).,,
"Substitution, Leicester City. Demarai Gray replaces Marc Albrighton.",,
Foul by Daniel Amartey (Leicester City).,,
Aaron Ramsey (Arsenal) wins a free kick in the attacking half.,,
"Goal!  Arsenal 4, Leicester City 3. Olivier Giroud (Arsenal) header from the centre of the box to the top left corner. Assisted by Granit Xhaka with a cross following a corner.",,
"Corner,  Arsenal. Conceded by Kasper Schmeichel.",,
Attempt saved. Alexandre Lacazette (Arsenal) left footed shot from the centre of the box is saved in the top centre of the goal. Assisted by Olivier Giroud.,,
"Goal!  Arsenal 3, Leicester City 3. Aaron Ramsey (Arsenal) right footed shot from the centre of the box to the bottom left corner. Assisted by Granit Xhaka following a corner.",,
"Corner,  Arsenal. Conceded by Danny Simpson.",,
"Substitution, Leicester City. Kelechi Iheanacho replaces Matty James.",,
Attempt missed. Aaron Ramsey (Arsenal) header from the left side of the box is high and wide to the left. Assisted by Granit Xhaka with a cross following a corner.,,
"Corner,  Arsenal. Conceded by Wilfred Ndidi.",,
Attempt blocked. Granit Xhaka (Arsenal) left footed shot from outside the box is blocked. Assisted by Alex Oxlade-Chamberlain.,,
Attempt missed. Alex Oxlade-Chamberlain (Arsenal) right footed shot from outside the box misses to the right. Assisted by Granit Xhaka.,,
Riyad Mahrez (Leicester City) wins a free kick in the defensive half.,,
Foul by Sead Kolasinac (Arsenal).,,
"Substitution, Arsenal. Theo Walcott replaces Danny Welbeck.",,
Attempt missed. Mesut Özil (Arsenal) left footed shot from a difficult angle on the left misses to the left. Assisted by Alex Oxlade-Chamberlain.,,
Attempt blocked. Alex Oxlade-Chamberlain (Arsenal) right footed shot from outside the box is blocked. Assisted by Héctor Bellerín.,,
"Corner,  Arsenal. Conceded by Christian Fuchs.",,
Attempt blocked. Alex Oxlade-Chamberlain (Arsenal) right footed shot from the right side of the box is blocked. Assisted by Aaron Ramsey.,,
"Substitution, Leicester City. Daniel Amartey replaces Shinji Okazaki.",,
Attempt blocked. Mesut Özil (Arsenal) left footed shot from the centre of the box is blocked. Assisted by Alexandre Lacazette.,,
Attempt saved. Granit Xhaka (Arsenal) left footed shot from outside the box is saved in the bottom right corner.,,
Attempt missed. Aaron Ramsey (Arsenal) header from the centre of the box misses to the left. Assisted by Alexandre Lacazette with a cross.,,
Foul by Matty James (Leicester City).,,
Aaron Ramsey (Arsenal) wins a free kick in the defensive half.,,
"Substitution, Arsenal. Olivier Giroud replaces Rob Holding.",,
"Substitution, Arsenal. Aaron Ramsey replaces Mohamed Elneny.",,
"Corner,  Arsenal. Conceded by Danny Simpson.",,
Attempt saved. Héctor Bellerín (Arsenal) right footed shot from the right side of the box is saved in the centre of the goal. Assisted by Danny Welbeck with a through ball.,,
"Offside, Arsenal. Alex Oxlade-Chamberlain tries a through ball, but Alexandre Lacazette is caught offside.",,
Attempt saved. Alex Oxlade-Chamberlain (Arsenal) right footed shot from outside the box is saved in the centre of the goal. Assisted by Danny Welbeck.,,
Jamie Vardy (Leicester City) wins a free kick in the defensive half.,,
Foul by Rob Holding (Arsenal).,,
"Goal!  Arsenal 2, Leicester City 3. Jamie Vardy (Leicester City) header from very close range to the bottom left corner. Assisted by Riyad Mahrez with a cross following a corner.",,
"Corner,  Leicester City. Conceded by Petr Cech.",,
Attempt missed. Riyad Mahrez (Leicester City) right footed shot from outside the box is just a bit too high.,,
Foul by Danny Welbeck (Arsenal).,,
Danny Simpson (Leicester City) wins a free kick in the defensive half.,,
"Offside, Leicester City. Marc Albrighton tries a through ball, but Riyad Mahrez is caught offside.",,
Riyad Mahrez (Leicester City) wins a free kick on the right wing.,,
Foul by Alex Oxlade-Chamberlain (Arsenal).,,
Attempt missed. Mesut Özil (Arsenal) left footed shot from outside the box misses to the right. Assisted by Héctor Bellerín.,,
"Second Half begins Arsenal 2, Leicester City 2.",,
"First Half ends, Arsenal 2, Leicester City 2.",,
"Goal!  Arsenal 2, Leicester City 2. Danny Welbeck (Arsenal) right footed shot from the centre of the box to the centre of the goal. Assisted by Sead Kolasinac.",,
Attempt blocked. Alexandre Lacazette (Arsenal) right footed shot from the centre of the box is blocked. Assisted by Mesut Özil.,,
"Offside, Leicester City. Kasper Schmeichel tries a through ball, but Riyad Mahrez is caught offside.",,
Sead Kolasinac (Arsenal) wins a free kick in the defensive half.,,
Foul by Shinji Okazaki (Leicester City).,,
"Corner,  Leicester City. Conceded by Sead Kolasinac.",,
"Corner,  Leicester City. Conceded by Alex Oxlade-Chamberlain.",,
"Corner,  Arsenal. Conceded by Wilfred Ndidi.",,
"Corner,  Arsenal. Conceded by Riyad Mahrez.",,
Attempt blocked. Granit Xhaka (Arsenal) left footed shot from outside the box is blocked. Assisted by Mesut Özil.,,
Mesut Özil (Arsenal) wins a free kick in the attacking half.,,
Foul by Wes Morgan (Leicester City).,,
Foul by Matty James (Leicester City).,,
Alexandre Lacazette (Arsenal) wins a free kick in the defensive half.,,
"Offside, Arsenal. Mesut Özil tries a through ball, but Danny Welbeck is caught offside.",,
Foul by Matty James (Leicester City).,,
Alex Oxlade-Chamberlain (Arsenal) wins a free kick in the attacking half.,,
"Attempt missed. Shinji Okazaki (Leicester City) header from the centre of the box is close, but misses to the right. Assisted by Christian Fuchs with a cross.",,
"Goal!  Arsenal 1, Leicester City 2. Jamie Vardy (Leicester City) right footed shot from very close range to the high centre of the goal. Assisted by Marc Albrighton with a cross.",,
Attempt missed. Mohamed Elneny (Arsenal) right footed shot from outside the box is high and wide to the right following a corner.,,
"Corner,  Arsenal. Conceded by Kasper Schmeichel.",,
Attempt saved. Sead Kolasinac (Arsenal) left footed shot from the left side of the box is saved in the bottom right corner. Assisted by Alexandre Lacazette with a headed pass.,,
Attempt blocked. Danny Welbeck (Arsenal) right footed shot from the centre of the box is blocked. Assisted by Mesut Özil.,,
Rob Holding (Arsenal) wins a free kick in the defensive half.,,
Foul by Shinji Okazaki (Leicester City).,,
Marc Albrighton (Leicester City) wins a free kick in the defensive half.,,
Foul by Alexandre Lacazette (Arsenal).,,
"Offside, Arsenal. Mesut Özil tries a through ball, but Alexandre Lacazette is caught offside.",,
Attempt blocked. Granit Xhaka (Arsenal) left footed shot from outside the box is blocked. Assisted by Mohamed Elneny.,,
Attempt blocked. Danny Welbeck (Arsenal) left footed shot from the centre of the box is blocked. Assisted by Mesut Özil.,,
Foul by Harry Maguire (Leicester City).,,
Alexandre Lacazette (Arsenal) wins a free kick in the attacking half.,,
Marc Albrighton (Leicester City) wins a free kick in the defensive half.,,
Foul by Héctor Bellerín (Arsenal).,,
"Offside, Leicester City. Wilfred Ndidi tries a through ball, but Jamie Vardy is caught offside.",,
Rob Holding (Arsenal) wins a free kick in the defensive half.,,
Foul by Shinji Okazaki (Leicester City).,,
Attempt saved. Alex Oxlade-Chamberlain (Arsenal) right footed shot from outside the box is saved in the bottom left corner. Assisted by Mesut Özil.,,
Shinji Okazaki (Leicester City) wins a free kick on the left wing.,,
Foul by Rob Holding (Arsenal).,,
"Corner,  Arsenal. Conceded by Harry Maguire.",,
Attempt missed. Alex Oxlade-Chamberlain (Arsenal) left footed shot from outside the box is just a bit too high. Assisted by Mesut Özil.,,
"Goal!  Arsenal 1, Leicester City 1. Shinji Okazaki (Leicester City) header from very close range to the high centre of the goal. Assisted by Harry Maguire with a headed pass following a corner.",,
"Corner,  Leicester City. Conceded by Sead Kolasinac.",,
Mesut Özil (Arsenal) wins a free kick in the defensive half.,,
Foul by Wes Morgan (Leicester City).,,
"Attempt missed. Riyad Mahrez (Leicester City) left footed shot from the centre of the box is close, but misses to the left.",,
"Goal!  Arsenal 1, Leicester City 0. Alexandre Lacazette (Arsenal) header from the centre of the box to the bottom left corner. Assisted by Mohamed Elneny.",,
Foul by Wes Morgan (Leicester City).,,
Danny Welbeck (Arsenal) wins a free kick in the attacking half.,,
"Match ends, Brighton and Hove Albion 0, Manchester City 2.",,
"Second Half ends, Brighton and Hove Albion 0, Manchester City 2.",,
Foul by Dale Stephens (Brighton and Hove Albion).,,
David Silva (Manchester City) wins a free kick in the attacking half.,,
"Corner,  Manchester City. Conceded by Markus Suttner.",,
Foul by Leroy Sané (Manchester City).,,
Bruno (Brighton and Hove Albion) wins a free kick in the defensive half.,,
"Substitution, Manchester City. Bernardo Silva replaces Sergio Agüero.",,
"Offside, Brighton and Hove Albion. Pascal Groß tries a through ball, but Glenn Murray is caught offside.",,
Raheem Sterling (Manchester City) is shown the yellow card for a bad foul.,,
Glenn Murray (Brighton and Hove Albion) wins a free kick in the attacking half.,,
Foul by Raheem Sterling (Manchester City).,,
"Corner,  Brighton and Hove Albion. Conceded by Fernandinho.",,
Foul by Leroy Sané (Manchester City).,,
Anthony Knockaert (Brighton and Hove Albion) wins a free kick on the right wing.,,
Foul by Sergio Agüero (Manchester City).,,
Bruno (Brighton and Hove Albion) wins a free kick in the defensive half.,,
